speed
89.6
107.1
73.2
72
74.7
73.8
69.9
72.2
71.7
71.5
68.6
72.6
72.7
71.6
61.9
73
73.8
72.9
72.3
71.6
74.1
71.6
73.4
73.4
73.4
71.4
73.4
75.3
71.4
71.5
71.8
73.3
74.7
72.5
73.4
72.8
73.4
75.1
74.6
71.9
72.5
73.3
72.2
78.2
73.9
72.6
72.7
71.5
69.4
72.7
72.9
73
74.4
72.2
72.9
72.9
73.6
72.8
73.9
74.3
65.1
71.7
73.7
72.2
72.1
72.9
71.8
74
72.4
73.4
73
72.1
73.4
74.1
76
74.4
73.2
69.1
71.7
72.2
72.9
73.3
72.6
72.5
73.9
72.4
71.5
72.9
72.7
72.9
72.1
73.5
77.1
72.5
71.9
72.4
72.6
73.7
70.9
72.8
69.1
72.3
70.7
72.7
74.1
71.8
70.8
69.5
73.8
73.1
73.9
71.4
72.8
69.1
71.9
73.8
71.9
74.7
71.5
71.7
73.8
72.9
73.5
73.9
73.7
71.3
68.5
72
72.4
73.1
72.1
72.6
71.7
73.9
72.6
72.7
73.7
74.4
73.7
71.3
72.4
70.3
72
72.8
74.3
74.4
72.4
72.5
73.1
73.5
75.3
72.8
74.3
72.4
73.6
73.4
71.9
72.5
71.9
73.8
72.6
73.7
70.9
72.2
74.6
132.5
71.8
77.2
71.5
72.7
71.1
72.4
74.2
72.1
73.6
71
93.1
73.4
73.5
75.2
75.3
74.4
71.7
73.8
73.2
72.5
71.7
76.4
72.9
71.4
71.8
70.9
72.9
69.6
73.3
73
72.4
73
71.6
72.9
71.8
69
72.2
72.3
72.6
73
72.6
72.7
71.9
72
72.8
71
72.2
73
72.6
70.1
71.6
70.8
73.8
72
72.3
65.3
73.5
69
72.9
73.7
72.2
75.4
71.8
71.9
72.6
71.7
72
71.8
